seqID	ID	Group	Group2	Group3
1	CF_soil_1	CF_soil	CF	soil
2	CF_soil_2	CF_soil	CF	soil
3	CF_soil_3	CF_soil	CF	soil
4	CF_soil_4	CF_soil	CF	soil
5	CF_soil_5	CF_soil	CF	soil
6	CF_soil_6	CF_soil	CF	soil
7	BOF_soil_1	BOF_soil	BOF	soil
8	BOF_soil_2	BOF_soil	BOF	soil
9	BOF_soil_3	BOF_soil	BOF	soil
10	BOF_soil_4	BOF_soil	BOF	soil
11	BOF_soil_5	BOF_soil	BOF	soil
12	BOF_soil_6	BOF_soil	BOF	soil
13	CK_leaf_1	CK_leaf	CK	leaf
14	CK_leaf_2	CK_leaf	CK	leaf
15	CK_leaf_3	CK_leaf	CK	leaf
16	CK_leaf_4	CK_leaf	CK	leaf
17	CK_leaf_5	CK_leaf	CK	leaf
18	CK_leaf_6	CK_leaf	CK	leaf
19	CF_leaf_1	CF_leaf	CF	leaf
20	CF_leaf_2	CF_leaf	CF	leaf
21	CF_leaf_3	CF_leaf	CF	leaf
22	CF_leaf_4	CF_leaf	CF	leaf
23	CF_leaf_5	CF_leaf	CF	leaf
24	CF_leaf_6	CF_leaf	CF	leaf
25	BOF_leaf_1	BOF_leaf	BOF	leaf
26	BOF_leaf_2	BOF_leaf	BOF	leaf
27	BOF_leaf_3	BOF_leaf	BOF	leaf
28	BOF_leaf_4	BOF_leaf	BOF	leaf
29	BOF_leaf_5	BOF_leaf	BOF	leaf
30	BOF_leaf_6	BOF_leaf	BOF	leaf
31	CK_root_1	CK_root	CK	root
32	CK_root_2	CK_root	CK	root
33	CK_root_3	CK_root	CK	root
34	CK_root_4	CK_root	CK	root
35	CK_root_5	CK_root	CK	root
36	CK_root_6	CK_root	CK	root
37	CF_root_1	CF_root	CF	root
38	CF_root_2	CF_root	CF	root
39	CF_root_3	CF_root	CF	root
40	CF_root_4	CF_root	CF	root
41	CF_root_5	CF_root	CF	root
42	CF_root_6	CF_root	CF	root
43	BOF_root_1	BOF_root	BOF	root
44	BOF_root_2	BOF_root	BOF	root
45	BOF_root_3	BOF_root	BOF	root
46	BOF_root_4	BOF_root	BOF	root
47	BOF_root_5	BOF_root	BOF	root
48	BOF_root_6	BOF_root	BOF	root
49	CK_insect_1	CK_insect	CK	insect
50	CK_insect_2	CK_insect	CK	insect
51	CK_insect_3	CK_insect	CK	insect
52	CK_insect_4	CK_insect	CK	insect
53	CK_insect_5	CK_insect	CK	insect
54	CK_insect_6	CK_insect	CK	insect
55	CF_insect_1	CF_insect	CF	insect
56	CF_insect_2	CF_insect	CF	insect
57	CF_insect_3	CF_insect	CF	insect
58	CF_insect_4	CF_insect	CF	insect
59	CF_insect_5	CF_insect	CF	insect
60	CF_insect_6	CF_insect	CF	insect
61	BOF_insect_1	BOF_insect	BOF	insect
62	BOF_insect_2	BOF_insect	BOF	insect
63	BOF_insect_3	BOF_insect	BOF	insect
64	BOF_insect_4	BOF_insect	BOF	insect
65	BOF_insect_5	BOF_insect	BOF	insect
66	BOF_insect_6	BOF_insect	BOF	insect
