OTUID	X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X7	X8	X9
ASV_1	6	11	6	5	102	88	100	83	85	99	82	7	74	77	113	88	93	92	89	78	81	74	9	84	532	768	576	760	621	517	704	1207	869	14	802	1063	747	1218	730	895	616	579	651	120457	10	123846	109316	115066	123300	125651	121625	117865	109789	123172	124476	4	126679	110002	106324	116582	120731	114381	127707	5	4	7
ASV_3	746	363	905	1063	10102	7002	15412	4738	12827	16048	51	1356	64	79	64	71	63	95	101	123	67	75	217	86	36	75	1	224	0	1	117	108	127	4520	25	105	35	109	21	83	34	29	12	5	5685	4	15	3	14	23	1	1	4	2	2	1092	0	0	1	4	2	3	0	460	1113	1025
ASV_4	7811	1058	880	2235	5027	3849	1868	11352	10125	9695	63	2810	73	90	86	83	92	108	99	134	113	96	956	110	74	98	5	164	2	25	154	331	64	9657	54	136	219	65	24	130	122	64	20	9	4021	11	2	21	17	13	3	2	2	11	2	3769	3	3	8	4	5	5	2	1261	455	559
ASV_5	93	99	102	129	75	68	89	34	53	48	10666	91	10324	13061	12361	12094	11377	122	145	178	162	154	171	124	0	68	53	1	2	0	128	42	3	76	38	88	1	58	15	47	34	21	47	0	138	0	1	1	0	2	7	5	9	7	3	129	3	0	1	0	1	1	1	139	100	93
ASV_6	1119	43	49	52	4224	1650	349	565	2111	278	22	83	18	28	16	31	24	12	23	21	20	19	300	13	35	38	47	51	26	21	11602	3254	3972	45	2799	20302	7197	231	165	93	25	18	25	28	166	19	37	16	23	24	15	17	20	25	13	75	13	16	26	21	16	28	23	53	54	171
ASV_7	1549	3	2	3	1	27	7	2	1	2	3	20	3	3	2	3	0	0	4	1	0	0	7	3	13	34	179	25	26	17	13896	4968	5716	15	4339	23413	5905	331	269	171	13	116	23	14	82	11	35	6	10	26	5	17	17	18	10	9	15	12	16	10	12	13	4	7	62	4
ASV_8	538	82	119	91	90	81	102	51	57	44	4597	661	4930	5993	5860	5670	5220	191	163	190	166	182	2357	196	21	79	5	3	59	24	45	68	162	494	50	6	61	31	36	7	42	131	0	2	977	1	0	0	1	0	3	5	4	1	3	396	4	0	2	1	0	0	0	91	62	100
ASV_9	3272	3872	613	398	526	381	1011	143	148	2488	63	744	38	58	44	43	45	64	73	66	62	66	5275	44	86	70	0	1	1	7	4	86	132	597	31	14	1	15	8	37	124	2	1	2	661	1	4	12	0	4	0	0	2	1	2	1563	1	1	7	3	2	8	3	5789	3109	6840
ASV_10	1	4	2	10	92	41	38	22	54	17	4	6	1	0	2	3	10	4	1	0	1	5	7	5	6	766	51	3454	933	28	313	922	2711	2	9597	6462	6490	40	45	194	71	8	470	9	20	7	7	5	4	16	15	18	23	5	5	18	20	136	73	76	31	146	15	16	1	5
ASV_11	72	8491	3399	4098	70	64	75	43	29	40	37	98	39	35	45	37	43	46	53	57	54	44	97	47	0	0	0	0	0	0	0	0	2	81	28	1	0	1	13	5	24	21	24	0	69	1	3	0	0	0	1	0	0	0	0	90	1	0	0	0	0	1	0	824	4109	8324
ASV_13	2265	95	150	121	4130	6685	3328	461	704	955	43	136	36	55	60	58	44	45	62	47	67	46	1125	49	198	16	0	0	24	0	45	68	50	547	62	20	28	78	21	10	1	1	14	1	891	5	1	8	1	2	0	2	0	2	1	1474	5	1	2	5	1	5	1	377	104	286
ASV_12	18	0	3	1	1	1	0	0	0	0	15	1	11	7	5	0	50	1	2	1	2	3	0	1	306	863	1257	1999	663	284	696	231	1098	0	652	92	908	5733	5782	1772	393	287	421	24	3	14	99	51	30	19	21	27	52	65	26	1	40	110	53	123	120	113	22	5	4	1
ASV_14	164	68	172	130	1610	2252	2845	2418	7200	2214	17	904	20	24	18	26	24	20	29	26	26	26	53	24	2	1	0	60	27	0	21	63	0	545	42	12	0	52	7	0	0	53	0	0	610	3	17	1	6	0	1	0	2	0	0	134	0	17	4	0	2	0	0	252	118	1474
ASV_15	41	1106	47	228	49	527	611	56	54	81	26	94	31	27	26	34	47	34	20	28	28	28	22	34	6	132	33	13	12	23	104	1065	713	141	6295	5902	1102	315	78	181	48	25	11	11	249	6	5	27	9	24	6	11	57	9	11	59	126	6	12	51	17	18	16	538	53	521
