ID,weight,Salicylic.acid,Total.free.amino.acids,NO2,NO3,Soluble.protein,Soluble.sugar
CK1,0.1371,31.21857663,6.885743002,0.845142617,3729.397895,0.334905199,3.038723557
CK2,0.1326,20.48311822,19.41355289,0.761511349,3062.924295,0.3748202,3.790355274
CK3,0.1307,11.50500448,11.05369176,0.776601922,4079.74163,0.383715374,3.581934069
CK4,0.1391,19.57405677,16.17455152,1.204318598,4328.895655,0.540839672,4.472646482
CK5,0.1478,20.67374602,3.873277531,0.72989599,2777.811758,0.596556751,2.008803185
CK6,0.1201,17.16672068,11.48016334,0.863494095,3823.85386,0.446167439,3.378492513
CF1,0.0881,8.308838551,7.520563183,0.652764757,1841.714736,0.452793954,2.939080895
CF2,0.0926,6.118127741,7.250329655,0.692132441,3728.366634,0.46479341,3.360975216
CF3,0.0963,7.266238058,7.943592859,0.770920218,2533.441739,0.335909233,2.798081209
CF4,0.1111,4.205972481,9.670775267,0.725943606,1964.249964,0.511589763,3.516499848
CF5,0.0914,4.534278676,10.4066575,0.831119745,2633.067635,0.254135449,3.226185603
CF6,0.0959,6.077269723,8.558383692,0.734576153,2742.019446,0.403844362,3.168164554
BOF1,0.0964,15.5744762,2.302454823,0.743065713,382.1075185,0.291842833,4.379257678
BOF2,0.1282,23.96903895,4.161902444,0.994142719,916.4521841,0.424286527,4.747642336
BOF3,0.0861,30.22,13.47389842,0.613327161,522.3613556,0.380730453,3.126744628
BOF4,0.0969,28.82672106,11.30399398,0.531335168,619.506717,0.55767697,3.241190458
BOF5,0.1045,31.88713706,4.620920818,0.91454464,606.9736861,0.344434995,3.944224846
BOF6,0.0947,44.44390216,7.172634098,0.75928308,686.1067522,0.399794355,3.887811989
