ID,PH,EC,TN,TP,TK,AK,AP,NO3,NH4
CF1,6.43,493,1.492610837,1.019898522,7.783251232,202.887747,29.78999588,31.02535223,3.451590081
CF2,6.47,480,1.433497537,0.838784729,7.24137931,204.8791165,43.79573061,38.37237302,4.239273279
CF3,6.43,479,1.102941176,0.809122549,7.352941176,163.7142857,45.16032165,41.00418548,3.845764113
CF4,6.19,460,1.441176471,1.002434314,7.598039216,145.7,38.90345,38.37237302,3.402021825
CF5,6.4,471,1.143564356,0.773820792,7.772277228,209.9422925,58.19521538,40.50418548,4.725657258
CF6,6.02,474,1.03960396,0.805627228,7.623762376,155,50.77142626,38.37237302,4.611338057
OF1,7,435,2.572413793,0.843884729,8.02955665,221.1155378,45.08910891,23.71419433,3.844174699
OF2,7.37,777,1.84729064,0.807870936,7.586206897,140.6882591,45.38859381,24.0823506,4.230394422
OF3,7.22,753.2,1.375609756,0.771869756,8.341463415,143.4262948,45.67858776,22.86225703,3
OF4,7.1,774.6,1.321782178,0.656306931,7.97029703,166.9960474,44.691208,25.02,4.015252008
OF5,7.05,501.4,1.96039604,0.808360891,8.217821782,241,43.6888404,22.42612097,4.01
OF6,7.17,455.3,1.930693069,0.806018812,7.920792079,,41.30453846,23.41165462,4.617929
